jobtitle,company,city,state,Hadoop,Spark,R,SAS,Stata,Java,Perl,Python,SQL,NoSQL,Tableau,Excel,Machine Learning,Amazon Web Service
Data Science Engineer,"Sysintelli, Inc.",San Diego,CA,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
Data/Data Science & AI - Artificial Intelligence trainers,Peak Experience LLC,New York,NY,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Data Science Consultant with Spark,Resource Informatics Group Inc,Bellevue,WA,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Data Science Intern,Pegasus Knowledge Solutions,Schaumburg,IL,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Data Science Analyst,Systems Technology Group Inc. (STG),Dearborn,MI,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Director of Data Science and Engineering,Shulman Fleming & Partners,Jenkintown,PA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Data Science Application Developer,HALLMARK GLOBAL TECHNOLOGIES INC,Allentown,PA,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"MD, Head of Data Science",S&P Global Ratings,New York,NY,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"Director, Data Science & Product Management - Fulltime position",Paxton Consultants,New York City,NY,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"Sr. JAVA Software Engineer (big data/science, Learning Opportunity!)",Advancement Alternatives,Waltham,MA,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
Business Analyst with Campaigning and Data Science - Remote Opportunity,Palnar,Duluth,MN,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
Data Scientist (mid-level),Sony Interactive Entertainment (SIE),San Diego,CA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
